iter	MultiClass
0	1.08815104
1	1.077971995
2	1.068062295
3	1.05838499
4	1.048976336
5	1.039805988
6	1.03088325
7	1.022130483
8	1.013614459
9	1.005276925
10	0.9971583112
11	0.9892009738
12	0.9814311696
13	0.9738426389
14	0.9664324255
15	0.9591904443
16	0.9521118265
17	0.9451648384
18	0.9383668683
19	0.9317140039
20	0.9252015504
21	0.9188338547
22	0.9125848344
23	0.9064680525
24	0.9004748146
25	0.8945994697
26	0.8888407135
27	0.8831975029
28	0.8776658384
29	0.8722376346
30	0.8669104569
31	0.8616924781
32	0.8565699611
33	0.8515502093
34	0.8466095744
35	0.8417664011
36	0.8370110389
37	0.8323345328
38	0.8277476636
39	0.823250779
40	0.8188273602
41	0.8144886225
42	0.8102196121
43	0.8060308488
44	0.8019124214
45	0.7978665033
46	0.793888052
47	0.7899804581
48	0.7861414612
49	0.782353673
50	0.7786343948
51	0.7749824095
52	0.7713929353
53	0.7678584951
54	0.7643898698
55	0.7609898415
56	0.7576310235
57	0.7543242836
58	0.7510789245
59	0.7478841655
60	0.7447334859
61	0.7416392315
62	0.7385857527
63	0.7355749623
64	0.7325746918
65	0.7296259778
66	0.7267614667
67	0.7239457734
68	0.7211697256
69	0.7184366269
70	0.7157061799
71	0.7130197689
72	0.7104067801
73	0.7078024421
74	0.7052650056
75	0.7027722572
76	0.7002789872
77	0.6978662686
78	0.695454202
79	0.6930745648
80	0.6907284
81	0.6884582223
82	0.6862030855
83	0.6839785522
84	0.6817935773
85	0.679642162
86	0.6774858344
87	0.6753980168
88	0.6733339344
89	0.6712842408
90	0.6692594125
91	0.6672876186
92	0.6653290834
93	0.6634129757
94	0.6615238634
95	0.659663833
96	0.6578051068
97	0.6559581178
98	0.6541619026
99	0.6523593842
100	0.6506043794
101	0.648875718
102	0.6471773992
103	0.6454902524
104	0.6438257974
105	0.642185034
106	0.6405626587
107	0.6389775815
108	0.6374217601
109	0.6358501153
110	0.634291164
111	0.632800375
112	0.6313049346
113	0.6298181884
114	0.6283346156
115	0.6269098153
116	0.6254499341
117	0.6240685177
118	0.6226638444
119	0.6212893834
120	0.6199179653
121	0.6185896703
122	0.6172959781
123	0.615975986
124	0.6146865974
125	0.6134052074
126	0.6121475526
127	0.6109084597
128	0.6097087949
129	0.6085322566
130	0.6073774103
131	0.6062041758
132	0.6050703258
133	0.6039234346
134	0.6027855419
135	0.6016519093
136	0.6005490976
137	0.5994766285
138	0.5983985082
139	0.5973246914
140	0.5962642203
141	0.5952245717
142	0.5941997901
143	0.5931829202
144	0.5921770049
145	0.5911883041
146	0.5902070803
147	0.5892745004
148	0.5883296182
149	0.5873974295
150	0.5864876717
151	0.5855716107
152	0.5846770677
153	0.5838182143
154	0.5829618388
155	0.5821141139
156	0.5812494789
157	0.5804095788
158	0.5795699395
159	0.5787376468
160	0.5778938343
161	0.5770744959
162	0.5762595915
163	0.5754713782
164	0.5746968148
165	0.5739167306
166	0.5731326905
167	0.5723622133
168	0.5716123413
169	0.5708781188
170	0.5701361585
171	0.5694149773
172	0.5687270077
173	0.5680327349
174	0.5673212477
175	0.566671576
176	0.5659885621
177	0.5653357605
178	0.5646732649
179	0.5640145513
180	0.5633647491
181	0.5627086003
182	0.5620584069
183	0.5614339048
184	0.560806664
185	0.5601960726
186	0.5595950448
187	0.5589661087
188	0.5583786872
189	0.5577820934
190	0.5572132339
191	0.5566290293
192	0.5560767758
193	0.5555104811
194	0.5549510549
195	0.5544038439
196	0.5538691091
197	0.5533304185
198	0.5528032476
199	0.5522829886
200	0.5517761186
201	0.5512751171
202	0.5507582923
203	0.5502595513
204	0.5497738951
205	0.54925907
206	0.5487718922
207	0.548291409
208	0.5477959719
209	0.5473415277
210	0.5468749117
211	0.5464012534
212	0.5459469831
213	0.5454858879
214	0.5450224888
215	0.544590519
216	0.5441563757
217	0.5437283618
218	0.5432794385
219	0.5428453821
220	0.5424114562
221	0.5419595768
222	0.5415589495
223	0.5411344133
224	0.54074135
225	0.5403515469
226	0.5399598312
227	0.5395831129
228	0.5392010042
229	0.5387795109
230	0.538396359
231	0.5380129896
232	0.5376592239
233	0.5372492069
234	0.5368706629
235	0.5364923361
236	0.5361136182
237	0.5357442464
238	0.5353924804
239	0.5350145449
240	0.5346408696
241	0.5343037967
242	0.5339390763
243	0.5335993952
244	0.5332628439
245	0.5329513753
246	0.5325929583
247	0.5322610584
248	0.5319179865
249	0.5315998669
250	0.5312714012
251	0.5309428052
252	0.5306532894
253	0.5303291273
254	0.5300218754
255	0.5296965396
256	0.5293952867
257	0.5291027714
258	0.5287803047
259	0.5284723138
260	0.528204403
261	0.5279338405
262	0.5276320659
263	0.527371893
264	0.5270793777
265	0.5267818198
266	0.5265264286
267	0.5262478674
268	0.5259844776
269	0.5257368677
270	0.5254388316
271	0.5251476205
272	0.5248578004
273	0.524578022
274	0.5243341941
275	0.5240663268
276	0.5237783759
277	0.5235100304
278	0.5232754618
279	0.5230361548
280	0.5227567677
281	0.5225299368
282	0.5222803273
283	0.5220524531
284	0.521802887
285	0.5215694486
286	0.5213402269
287	0.5210995288
288	0.5208576136
289	0.5206196977
290	0.5203853029
291	0.5201797728
292	0.5199770683
293	0.5197461077
294	0.5195075397
295	0.519258104
296	0.5190550952
297	0.5188582158
298	0.5186451217
299	0.518446373
300	0.5182246283
301	0.5180460935
302	0.5178289567
303	0.5176078205
304	0.5173874668
305	0.5172095841
306	0.51701753
307	0.5168293447
308	0.5166145118
309	0.5164132418
310	0.5162190141
311	0.5160008774
312	0.5158145614
313	0.5156366352
314	0.5154351914
315	0.5152543961
316	0.5151016831
317	0.5149307992
318	0.5147360933
319	0.5145048284
320	0.5143232073
321	0.5141264582
322	0.5139588781
323	0.5137953408
324	0.5136196752
325	0.5134380105
326	0.5132504339
327	0.5130718991
328	0.5129204902
329	0.5127502584
330	0.5125585085
331	0.5123663674
332	0.5122062643
333	0.5120164706
334	0.5118520639
335	0.5116873963
336	0.5115299015
337	0.5113697114
338	0.5111616165
339	0.5110189452
340	0.5108676667
341	0.5107231696
342	0.5105646749
343	0.5104122661
344	0.5102753765
345	0.5101144909
346	0.5099623864
347	0.5098003706
348	0.5096567429
349	0.5095454141
350	0.5094073507
351	0.5092514208
352	0.5090941433
353	0.5089542542
354	0.5088083225
355	0.5086616085
356	0.5085299788
357	0.5083761789
358	0.5082281607
359	0.5080805772
360	0.5079389492
361	0.5078031028
362	0.5076854707
363	0.5075525369
364	0.5074167775
365	0.5072889297
366	0.5071444327
367	0.5070027177
368	0.5068820427
369	0.506769714
370	0.5066456048
371	0.5065194958
372	0.5063913438
373	0.5062742768
374	0.5061482114
375	0.5060245803
376	0.5059012101
377	0.5057720582
378	0.5056615988
379	0.5055270131
380	0.5053686053
381	0.5052285858
382	0.5051056068
383	0.5049771504
384	0.5048694297
385	0.5047494936
386	0.5046302096
387	0.5045073176
388	0.5044071173
389	0.5042663587
390	0.5041450751
391	0.5040457007
392	0.5039583243
393	0.50383578
394	0.5037182349
395	0.5036236423
396	0.5035099226
397	0.5033949422
398	0.5033001758
399	0.5031825437
400	0.5030705628
401	0.5029755356
402	0.5028612507
403	0.5027549211
404	0.5026265517
405	0.5024968347
406	0.5023875055
407	0.5023000856
408	0.5021968424
409	0.5021128567
410	0.502015569
411	0.5019125431
412	0.5017983452
413	0.5017018834
414	0.5016048565
415	0.5015054387
416	0.5013962834
417	0.5012707396
418	0.5011684093
419	0.5010715562
420	0.5009671827
421	0.5008794151
422	0.5007724334
423	0.5006933599
424	0.5005945507
425	0.500504566
426	0.5003946283
427	0.5003147289
428	0.5002045303
429	0.5001243701
430	0.5000357765
431	0.4999345764
432	0.4998247256
433	0.4997182655
434	0.4996349754
435	0.4995569452
436	0.4994862181
437	0.4993791495
438	0.4992705593
439	0.4991567526
440	0.4990696805
441	0.4989881292
442	0.4989052304
443	0.4988176366
444	0.4987417365
445	0.4986475352
446	0.4985674619
447	0.4984595238
448	0.4983506728
449	0.4982671654
450	0.4981648785
451	0.4980971509
452	0.4979991676
453	0.4979066617
454	0.4978204155
455	0.4977400814
456	0.4976433153
457	0.4975567649
458	0.4974780827
459	0.4973988788
460	0.4973268476
461	0.4972566422
462	0.4971691354
463	0.4970816721
464	0.496995339
465	0.4969162655
466	0.4968200645
467	0.4967405129
468	0.4966542233
469	0.4965618912
470	0.4964909468
471	0.4964148728
472	0.496327366
473	0.4962239924
474	0.496144832
475	0.4960598465
476	0.4959742524
477	0.4959162623
478	0.495833972
479	0.4957475954
480	0.4956716953
481	0.495596969
482	0.4955300239
483	0.4954657305
484	0.495401698
485	0.4953296668
486	0.4952425947
487	0.4951758235
488	0.4951103129
489	0.4950228496
490	0.4949418199
491	0.4948797001
492	0.4947935409
493	0.4947244223
494	0.4946520868
495	0.4945828812
496	0.4945231523
497	0.494457946
498	0.4943896968
499	0.4943114927
500	0.4942348971
501	0.4941602142
