iter	Passed	Remaining
0	6	140469
1	12	129143
2	18	126174
3	23	123831
4	29	122297
5	34	121433
6	40	121063
7	45	120515
8	51	120305
9	56	119605
10	62	119451
11	69	121134
12	74	120588
13	80	120185
14	85	120000
15	91	119776
16	96	119433
17	102	118900
18	107	118682
19	112	118274
20	118	118532
21	124	118538
22	130	119137
23	136	119129
24	141	119011
25	147	119117
26	153	119094
27	158	118992
28	164	119007
29	170	118940
30	175	118996
31	181	118889
32	187	119255
33	193	119174
34	198	119042
35	204	119068
36	210	119052
37	215	119129
38	221	119090
39	227	119078
40	232	118947
41	238	118857
42	243	118703
43	248	118583
44	254	118518
45	259	118385
46	265	118396
47	271	118431
48	276	118415
49	282	118457
50	288	118402
51	293	118381
52	299	118312
53	304	118215
54	310	118121
55	315	118018
56	321	118002
57	327	118133
58	333	118280
59	339	118319
60	346	118842
61	352	119028
62	358	119124
63	364	119231
64	370	119305
65	376	119422
66	382	119486
67	388	119561
68	394	119602
69	400	119753
70	406	119868
71	412	120014
72	419	120306
73	426	120489
74	432	120653
75	438	120817
76	445	120980
77	452	121300
78	458	121489
79	464	121572
80	471	121699
81	476	121597
82	482	121663
83	488	121741
84	495	121884
85	501	121847
86	507	121957
87	513	121970
88	519	122032
89	525	122060
90	531	122175
91	537	122238
92	543	122251
93	550	122396
94	556	122534
95	562	122567
96	569	122628
97	574	122578
98	585	123633
99	591	123613
100	597	123590
101	603	123675
102	610	123779
103	615	123722
104	621	123728
105	627	123760
106	633	123788
107	639	123714
108	645	123754
109	651	123777
110	657	123724
111	663	123824
112	669	123824
113	675	123834
114	681	123731
115	687	123740
116	693	123753
117	698	123679
118	705	123727
119	711	123859
120	718	123929
121	724	124038
122	730	123972
123	736	124013
124	743	124082
125	749	124155
126	755	124173
127	761	124244
128	768	124351
129	774	124402
130	780	124325
131	786	124373
132	792	124386
133	798	124386
134	804	124361
135	811	124423
136	817	124470
137	823	124487
138	830	124566
139	837	124735
140	843	124764
141	849	124768
142	856	124857
143	861	124830
144	868	124932
145	874	124971
146	881	125022
147	886	124969
148	893	125036
149	899	125067
150	905	125044
151	911	125016
152	917	125019
153	923	125046
154	929	125025
155	935	125004
156	941	125010
157	947	125011
158	954	125119
159	960	125079
160	966	125103
161	972	125104
162	978	125098
163	984	125031
164	990	125132
165	997	125158
166	1003	125153
167	1008	125094
168	1015	125118
169	1021	125110
170	1027	125112
171	1032	125048
172	1038	125034
173	1045	125081
174	1050	125034
175	1056	125033
176	1063	125060
177	1069	125074
178	1075	125043
179	1081	125068
180	1087	125087
181	1094	125137
182	1100	125129
183	1106	125143
184	1112	125167
185	1118	125192
186	1124	125181
187	1130	125170
188	1136	125194
189	1143	125198
190	1148	125124
191	1154	125152
192	1160	125139
193	1167	125159
194	1172	125105
195	1178	125086
196	1184	125093
197	1190	125059
198	1196	125050
199	1202	125065
200	1208	125063
201	1214	125030
202	1220	125074
203	1227	125094
204	1233	125131
205	1239	125134
206	1246	125207
207	1253	125272
208	1259	125340
209	1266	125342
210	1272	125336
211	1279	125424
212	1286	125571
213	1294	125688
214	1301	125861
215	1308	125896
216	1314	125887
217	1320	125881
218	1327	125945
219	1333	125995
220	1340	126017
221	1346	126063
222	1352	126045
223	1359	126133
224	1366	126165
225	1372	126195
226	1378	126166
227	1384	126149
228	1390	126158
229	1397	126171
230	1402	126131
231	1408	126107
232	1414	126096
233	1420	126095
234	1426	126072
235	1433	126097
236	1439	126108
237	1445	126127
238	1451	126062
239	1458	126142
240	1464	126189
241	1471	126211
242	1477	126199
243	1483	126214
244	1489	126204
245	1495	126179
246	1501	126152
247	1507	126166
248	1514	126196
249	1520	126205
250	1526	126209
251	1532	126201
252	1539	126222
253	1545	126241
254	1551	126239
255	1557	126227
256	1564	126273
257	1570	126280
258	1576	126259
259	1583	126275
260	1589	126273
261	1595	126289
262	1601	126279
263	1607	126251
264	1613	126266
265	1619	126239
266	1625	126225
267	1631	126194
268	1637	126177
269	1643	126169
270	1648	126129
271	1654	126108
272	1661	126164
273	1667	126170
274	1674	126199
275	1680	126219
276	1687	126230
277	1693	126213
278	1699	126219
279	1705	126182
280	1711	126198
281	1717	126197
282	1723	126170
283	1729	126167
284	1735	126179
285	1742	126183
286	1748	126197
287	1754	126154
288	1760	126146
289	1766	126154
290	1772	126158
291	1778	126116
292	1784	126125
293	1790	126129
294	1796	126118
295	1802	126093
296	1808	126098
297	1815	126089
298	1821	126103
299	1827	126084
300	1833	126112
301	1840	126108
302	1845	126062
303	1851	126052
304	1858	126092
305	1864	126077
306	1870	126072
307	1876	126071
308	1883	126090
309	1889	126121
310	1895	126109
311	1901	126104
312	1908	126111
313	1914	126132
314	1920	126124
315	1926	126118
316	1933	126134
317	1939	126144
318	1945	126133
319	1951	126138
320	1958	126155
321	1964	126162
322	1970	126165
323	1977	126179
324	1983	126187
325	1989	126191
326	1996	126190
327	2002	126175
328	2008	126177
329	2014	126202
330	2021	126219
331	2027	126203
332	2033	126182
333	2039	126167
334	2045	126169
335	2051	126153
336	2057	126134
337	2063	126151
338	2070	126169
339	2076	126155
340	2082	126150
341	2088	126150
342	2095	126186
343	2101	126204
344	2107	126190
345	2114	126193
346	2120	126210
347	2126	126204
348	2132	126200
349	2138	126196
350	2145	126197
351	2151	126207
352	2157	126198
353	2163	126188
354	2170	126198
355	2176	126186
356	2183	126230
357	2188	126214
358	2195	126214
359	2201	126208
360	2207	126196
361	2213	126171
362	2219	126178
363	2225	126188
364	2232	126198
365	2237	126157
366	2244	126168
367	2250	126179
368	2256	126188
369	2262	126161
370	2269	126182
371	2275	126204
372	2282	126211
373	2289	126239
374	2294	126216
375	2301	126243
376	2308	126260
377	2314	126246
378	2319	126210
379	2325	126210
380	2331	126201
381	2338	126197
382	2343	126149
383	2349	126145
384	2356	126158
385	2362	126166
386	2368	126131
387	2374	126123
388	2380	126103
389	2386	126129
390	2392	126101
391	2398	126090
392	2404	126083
393	2410	126048
394	2416	126032
395	2422	126038
396	2428	126030
397	2433	125992
398	2440	125994
399	2446	126003
400	2452	125992
401	2458	125952
402	2464	125944
403	2470	125953
404	2476	125928
405	2482	125922
406	2488	125924
407	2495	125926
408	2501	125959
409	2507	125933
410	2513	125925
411	2519	125925
412	2525	125913
413	2531	125887
414	2538	125893
415	2544	125884
416	2549	125854
417	2556	125863
418	2561	125842
419	2568	125838
420	2573	125807
421	2579	125802
422	2585	125783
423	2592	125801
424	2597	125758
425	2603	125741
426	2609	125725
427	2614	125688
428	2621	125682
429	2628	125722
430	2634	125730
431	2640	125696
432	2646	125703
433	2652	125704
434	2658	125700
435	2664	125686
436	2670	125680
437	2677	125685
438	2683	125671
439	2689	125672
440	2695	125667
441	2701	125671
442	2708	125664
443	2713	125629
444	2719	125624
445	2726	125657
446	2732	125657
447	2739	125663
448	2745	125651
449	2751	125657
450	2757	125645
451	2763	125628
452	2769	125625
453	2775	125619
454	2781	125612
455	2787	125587
456	2793	125583
457	2800	125592
458	2805	125572
459	2811	125534
460	2817	125521
461	2823	125519
462	2829	125499
463	2835	125485
464	2841	125493
465	2847	125494
466	2854	125504
467	2859	125463
468	2866	125469
469	2872	125472
470	2878	125441
471	2883	125412
472	2890	125429
473	2896	125412
474	2901	125393
475	2907	125382
476	2913	125371
