iter	RMSE
0	78864.43949
1	78308.27494
2	77755.6187
3	77198.66195
4	76648.03581
5	76118.31514
6	75591.50231
7	75073.93689
8	74571.79013
9	74066.9954
10	73574.9547
11	73100.30027
12	72598.29785
13	72101.33454
14	71623.7456
15	71138.97301
16	70660.64007
17	70186.4968
18	69743.30765
19	69289.83717
20	68855.97289
21	68409.17188
22	67976.60444
23	67537.28431
24	67110.24855
25	66687.80716
26	66251.4482
27	65857.35459
28	65432.2192
29	65008.93261
30	64610.97031
31	64213.45244
32	63809.69915
33	63392.47962
34	63007.43405
35	62620.22162
36	62265.36321
37	61889.92665
38	61509.22712
39	61126.33578
40	60757.30444
41	60384.9237
42	60013.64306
43	59648.08579
44	59314.60238
45	58973.31498
46	58647.19115
47	58299.01889
48	57961.3826
49	57622.17305
50	57280.37174
51	56952.18628
52	56618.21719
53	56316.29856
54	56000.45799
55	55686.29222
56	55368.55717
57	55065.00713
58	54760.7581
59	54455.66483
60	54154.90703
61	53865.05274
62	53574.30724
63	53309.03141
64	53033.64568
65	52746.03953
66	52457.06875
67	52196.95416
68	51931.77181
69	51645.58937
70	51375.46962
71	51096.81745
72	50855.88072
73	50584.39779
74	50311.53916
75	50071.67191
76	49817.43889
77	49568.26474
78	49312.60701
79	49081.40684
80	48846.72505
81	48601.20246
82	48383.26523
83	48147.21482
84	47907.4267
85	47676.99331
86	47454.3748
87	47211.20475
88	46986.68894
89	46751.99217
90	46534.42898
91	46312.94787
92	46096.25333
93	45883.10812
94	45688.17572
95	45485.38807
96	45263.1869
97	45058.07816
98	44849.94777
99	44638.31502
100	44440.77095
101	44253.49984
102	44048.78075
103	43851.14205
104	43658.10956
105	43471.16138
106	43282.33756
107	43107.01921
108	42935.96577
109	42755.39122
110	42589.02826
111	42405.0965
112	42232.31611
113	42051.553
114	41873.09052
115	41694.36587
116	41528.63159
117	41356.00352
118	41187.43433
119	41019.83575
120	40856.55321
121	40688.20729
122	40543.02609
123	40360.63615
124	40195.76578
125	40040.47087
126	39888.1478
127	39761.55338
128	39636.48442
129	39484.38087
130	39343.43777
131	39190.6138
132	39033.1185
133	38868.59237
134	38731.19407
135	38590.48484
136	38466.0053
