iter	Passed	Remaining
0	23	69010
1	33	50852
2	44	44294
3	54	41121
4	64	38700
5	75	37489
6	87	37459
7	99	37170
8	110	36564
9	122	36732
10	133	36205
11	143	35831
12	154	35574
13	165	35334
14	175	34958
15	185	34549
16	195	34270
17	204	33908
18	214	33588
19	223	33290
20	233	33099
21	242	32797
22	252	32677
23	263	32688
24	276	32955
25	287	32918
26	300	33059
27	311	33107
28	323	33106
29	336	33291
30	346	33143
31	355	32989
32	366	32912
33	376	32806
34	386	32719
35	396	32607
36	406	32534
37	415	32415
38	425	32321
39	436	32277
40	446	32208
41	456	32124
42	465	32042
43	493	33143
44	505	33182
45	515	33123
46	525	33008
47	535	32934
48	546	32905
49	556	32813
50	565	32710
51	575	32649
52	587	32683
53	597	32599
54	607	32525
55	617	32462
56	627	32383
57	637	32323
58	647	32270
59	657	32225
60	668	32198
61	679	32199
62	689	32149
63	699	32089
64	710	32062
65	720	32033
66	731	32010
67	740	31947
68	750	31881
69	760	31820
70	770	31770
71	780	31726
72	790	31685
73	800	31659
74	810	31604
75	820	31560
76	830	31507
77	839	31450
78	849	31414
79	859	31362
80	869	31316
81	878	31277
82	889	31258
83	899	31233
84	909	31189
85	919	31141
86	928	31090
87	938	31064
88	949	31064
89	959	31038
90	970	31027
91	981	31037
92	992	31013
93	1002	30981
94	1012	30948
95	1022	30924
96	1032	30891
97	1041	30851
98	1051	30804
99	1060	30763
100	1070	30720
101	1080	30706
102	1091	30692
103	1101	30660
104	1110	30631
105	1121	30613
106	1130	30571
107	1140	30531
108	1150	30502
109	1159	30467
110	1169	30441
111	1179	30423
112	1189	30402
113	1199	30371
114	1209	30338
115	1219	30326
116	1230	30308
117	1239	30284
118	1249	30251
119	1259	30225
120	1269	30207
121	1279	30171
122	1288	30134
123	1298	30109
124	1307	30078
125	1317	30047
126	1327	30027
127	1337	30001
128	1346	29966
129	1355	29930
130	1365	29896
131	1374	29863
132	1384	29853
133	1394	29821
134	1404	29798
135	1413	29765
136	1422	29725
137	1432	29700
138	1441	29678
139	1452	29674
140	1462	29654
141	1471	29625
142	1481	29590
143	1490	29561
144	1500	29537
145	1509	29513
146	1519	29493
147	1529	29465
148	1539	29448
149	1548	29430
150	1558	29410
151	1568	29388
152	1577	29360
153	1587	29334
154	1596	29307
155	1606	29285
156	1616	29271
157	1626	29247
158	1635	29222
159	1645	29201
160	1654	29167
161	1663	29136
162	1672	29110
163	1681	29085
164	1691	29066
165	1701	29043
166	1710	29021
167	1720	29001
168	1730	28981
169	1741	28984
170	1750	28960
171	1759	28937
172	1769	28917
173	1779	28895
174	1788	28876
175	1798	28861
176	1808	28838
177	1817	28818
178	1827	28798
179	1837	28781
180	1847	28768
181	1856	28746
182	1865	28721
183	1875	28699
184	1884	28677
185	1894	28657
186	1903	28639
187	1913	28620
188	1922	28600
189	1932	28583
190	1942	28572
191	1953	28567
192	1962	28543
193	1972	28525
194	1981	28507
195	1991	28485
196	2000	28462
197	2010	28449
198	2020	28435
199	2029	28418
200	2039	28398
201	2048	28376
202	2057	28351
203	2067	28335
204	2077	28326
205	2086	28304
206	2096	28282
207	2105	28263
208	2115	28255
209	2125	28241
210	2135	28228
211	2145	28214
212	2155	28199
213	2164	28182
214	2174	28171
215	2184	28158
216	2194	28145
217	2204	28131
218	2214	28117
219	2223	28097
220	2234	28094
221	2244	28086
222	2253	28064
223	2262	28039
224	2272	28024
225	2282	28011
226	2292	28000
227	2301	27981
228	2310	27962
229	2320	27944
230	2329	27926
231	2339	27907
232	2350	27913
233	2360	27901
234	2369	27884
235	2380	27878
236	2390	27867
237	2399	27851
238	2409	27829
239	2418	27812
240	2427	27793
241	2437	27774
242	2446	27758
243	2457	27755
244	2466	27739
245	2476	27722
246	2486	27708
247	2495	27692
248	2505	27682
249	2514	27664
250	2524	27647
251	2534	27639
252	2544	27631
253	2554	27616
254	2563	27595
255	2573	27583
256	2583	27569
257	2592	27552
258	2601	27536
259	2611	27525
260	2621	27505
261	2630	27490
262	2640	27475
263	2649	27461
264	2659	27445
265	2668	27427
266	2678	27418
267	2688	27404
268	2697	27388
269	2707	27371
270	2716	27352
271	2725	27337
272	2735	27328
273	2745	27313
274	2754	27298
275	2764	27283
276	2773	27264
277	2783	27256
278	2794	27250
279	2804	27240
280	2813	27226
281	2822	27205
282	2832	27196
283	2842	27183
284	2852	27177
285	2862	27161
286	2871	27142
287	2880	27125
288	2890	27111
289	2899	27094
290	2909	27087
291	2919	27074
292	2928	27060
293	2938	27044
294	2947	27025
295	2956	27011
296	2966	27001
297	2976	26987
298	2985	26972
299	2995	26959
300	3005	26945
301	3014	26931
302	3024	26922
303	3034	26908
304	3043	26896
305	3052	26877
306	3063	26869
307	3073	26862
308	3083	26849
309	3093	26841
310	3102	26823
311	3111	26807
312	3121	26796
313	3131	26783
314	3140	26770
315	3150	26755
316	3159	26738
317	3168	26726
318	3178	26714
319	3188	26707
320	3199	26706
321	3209	26690
322	3219	26681
323	3230	26677
324	3240	26668
325	3249	26654
326	3258	26638
327	3268	26627
328	3278	26614
329	3287	26602
330	3297	26587
331	3306	26570
332	3315	26557
333	3325	26543
334	3334	26525
335	3343	26507
336	3353	26497
337	3362	26481
338	3372	26470
339	3381	26455
340	3391	26443
341	3400	26429
342	3411	26428
343	3421	26416
344	3431	26404
345	3440	26390
346	3449	26374
347	3459	26360
348	3468	26349
349	3478	26334
350	3487	26319
351	3496	26304
352	3505	26288
353	3515	26273
354	3524	26261
355	3535	26255
356	3544	26241
357	3554	26229
358	3563	26214
359	3573	26204
360	3582	26192
361	3592	26182
362	3602	26168
363	3611	26152
364	3622	26150
365	3631	26137
366	3641	26122
367	3650	26109
368	3659	26094
369	3669	26081
370	3679	26070
371	3688	26057
372	3697	26043
373	3707	26029
374	3716	26017
375	3726	26004
